Registration Number,Name,CGPA,Projects,Internships,Courses,No_of_Certs,Certifications,LeetCode Score,Placement Status,Company Portfolio,10th Grade Percentage,12th Grade Percentage,CTC,IQ,Gender,Skills,Skill Score
20EEE0125,Ronald Lowery,8.06,1,"['ML/AI', 'Chip Design']","['ML Engineer', 'VLSI', 'Cloud Engineer', 'CSC Frontend']",4,3,80,Placed,REGULAR,62,81,4 LPA,144,Male,"['Python', 'Java', 'Database Management']",9
20EEE0167,Michael Estes,7.25,2,"['Robotics', 'System Design']","['CSC Frontend', 'CSC Frontend', 'Chip Design']",3,2,161,Placed,DREAM,65,92,4 LPA,91,Male,['Data Analysis'],8
20CSE0208,Jose Nichols,9.22,8,"['Hardware Engineer', 'Business Management', 'Software Engineer']","['CSC Frontend', 'VLSI', 'System Design']",3,3,429,Placed,DREAM,88,97,70 LPA,130,Female,"['Database Management', 'Data Analysis']",4
20ECE0143,Tracie Thomas,9.28,1,"['Software Engineer', 'Chip Design', 'ML/AI']","['System Design', 'CSC Frontend', 'CSC Frontend']",3,1,265,Placed,REGULAR,63,98,6 LPA,132,Male,"['Python', 'Web Development', 'Database Management', 'Java']",1
20EEE0206,Johnny Alexander,7.81,8,"['Hardware Engineer', 'ML Engineer', 'ML/AI']","['Cloud Engineer', 'ML Engineer', 'CSC Frontend', 'ML Engineer']",4,8,84,Not Placed,None,78,89,50 LPA,104,Male,"['Machine Learning', 'Java', 'Communication', 'Web Development']",8
20EEE0260,Jamie Gonzales,6.1,6,"['Hardware Engineer', 'System Design']","['ML Engineer', 'ML Engineer', 'Chip Design']",3,8,301,Not Placed,None,87,72,10 LPA,145,Male,"['Java', 'Data Analysis']",5
20CSE0063,Travis Dickerson,8.62,7,"['UI Design', 'Chip Design']","['VLSI', 'CSC Frontend']",2,3,186,Placed,REGULAR,64,82,4 LPA,109,Male,['Communication'],7
20CSE0033,Aimee Diaz,9.27,9,"['Cloud Engineer', 'Chip Design']","['Chip Design', 'CSC Backend', 'CSC Frontend', 'ML Engineer']",4,7,11,Not Placed,None,62,92,1 CR LPA,115,Female,"['C++', 'Web Development', 'Communication']",5
20ECE0022,David Brown,8.08,10,"['Robotics', 'Cloud Engineer']","['Cloud Engineer', 'ML Engineer', 'System Design']",3,4,455,Not Placed,None,67,93,6 LPA,119,Male,['Data Analysis'],5
20CSE0150,Charles Jones,9.51,7,['System Design'],"['Cloud Engineer', 'VLSI']",2,6,109,Placed,REGULAR,98,80,50 LPA,108,Male,"['C++', 'Java', 'Database Management', 'Communication', 'Data Analysis']",2
20CSE0059,Carolyn Bennett,6.27,1,['Software Engineer'],"['ML Engineer', 'CSC Frontend', 'CSC Backend']",3,8,47,Placed,REGULAR,82,86,25 LPA,126,Female,"['Communication', 'Java', 'Python']",3
20CSE0001,Angela Doyle,6.83,6,"['ML Engineer', 'ML Engineer', 'Cloud Engineer']","['Chip Design', 'VLSI']",2,6,397,Placed,SUPER DREAM,93,93,1 CR LPA,81,Female,"['Java', 'Communication']",3
20EEE0230,Devon Hill,8.58,3,"['Cloud Engineer', 'ML/AI', 'System Design']","['Chip Design', 'System Design', 'CSC Frontend', 'CSC Backend']",4,2,339,Placed,SUPER DREAM,88,97,70 LPA,95,Female,"['Web Development', 'Data Analysis', 'Java']",7
20CSE0230,Russell Ewing,9.36,5,['Cloud Engineer'],['VLSI'],1,8,286,Not Placed,None,62,91,10 LPA,150,Female,"['Data Analysis', 'Communication', 'Machine Learning', 'C++', 'Java']",4
20CSE0304,Troy Collins,8.02,6,['ML Engineer'],"['Cloud Engineer', 'ML Engineer', 'System Design', 'CSC Backend']",4,2,83,Not Placed,None,70,99,8 LPA,118,Male,"['Web Development', 'Database Management', 'Java']",3
20EEE0049,Noah Alvarez,7.71,7,['Software Engineer'],"['Cloud Engineer', 'CSC Frontend', 'VLSI', 'CSC Frontend']",4,5,344,Placed,SUPER DREAM,81,98,80 LPA,83,Male,"['C++', 'Python', 'Java', 'Database Management']",2
20ECE0163,Lisa Hayes,7.9,2,"['Hardware Engineer', 'ML/AI', 'Robotics']","['System Design', 'CSC Backend', 'Cloud Engineer', 'ML Engineer']",4,0,68,Not Placed,None,96,61,8 LPA,147,Female,"['Communication', 'Python', 'Data Analysis']",1
20CSE0229,Janet Lopez,8.45,7,"['Cloud Engineer', 'Hardware Engineer', 'Robotics']","['System Design', 'CSC Frontend']",2,1,113,Not Placed,None,70,93,20 LPA,91,Female,"['Database Management', 'Communication']",6
20EEE0254,Kayla Hughes,7.08,3,"['Hardware Engineer', 'UI Design', 'Business Management']","['Cloud Engineer', 'CSC Frontend']",2,7,337,Not Placed,None,69,68,10 LPA,112,Female,"['Web Development', 'Database Management', 'Machine Learning', 'Java', 'Python']",1
20CSE0274,Erin Castro,6.29,9,"['ML Engineer', 'ML Engineer']",['System Design'],1,3,406,Placed,SUPER DREAM,95,87,60 LPA,148,Female,"['Python', 'Data Analysis', 'Java']",7
20EEE0157,Sarah Cordova,7.35,4,"['Software Engineer', 'ML Engineer', 'Cloud Engineer']",['Chip Design'],1,10,377,Placed,SUPER DREAM,73,65,30 LPA,146,Female,"['Java', 'C++', 'Communication', 'Web Development']",8
20CSE0331,Jose Lozano,9.56,4,"['Cloud Engineer', 'ML/AI']",['CSC Backend'],1,2,156,Placed,SUPER DREAM,76,85,25 LPA,138,Male,"['Data Analysis', 'Machine Learning', 'C++', 'Communication']",2
20CSE0113,Alyssa King,9.13,7,"['Chip Design', 'System Design', 'ML/AI']","['CSC Frontend', 'System Design']",2,3,423,Placed,REGULAR,93,99,90 LPA,149,Male,"['Communication', 'Database Management', 'Data Analysis', 'Python', 'C++']",3
20ECE0016,Scott Watkins,9.11,8,"['Robotics', 'ML/AI']",['CSC Backend'],1,4,78,Not Placed,None,91,66,90 LPA,81,Male,"['Machine Learning', 'Communication', 'Java', 'Data Analysis']",5
20CSE0279,Eddie Olson,7.78,4,"['Robotics', 'Robotics', 'Hardware Engineer']",['Cloud Engineer'],1,2,419,Not Placed,None,89,65,15 LPA,110,Female,"['Data Analysis', 'Python']",3
20CSE0333,Kayla Martin,9.86,2,"['Chip Design', 'Business Management', 'Robotics']","['CSC Frontend', 'CSC Backend', 'CSC Backend']",3,9,315,Not Placed,None,72,77,1 CR LPA,111,Male,"['C++', 'Data Analysis', 'Java', 'Communication', 'Database Management']",8
20EEE0304,Karen Schwartz,9.02,9,['Business Management'],['System Design'],1,2,415,Placed,DREAM,68,66,20 LPA,89,Female,"['Python', 'Database Management']",6
20ECE0270,Holly Nguyen,6.02,2,"['ML Engineer', 'Business Management', 'Chip Design']","['Cloud Engineer', 'VLSI']",2,6,11,Placed,SUPER DREAM,73,86,30 LPA,122,Male,"['Communication', 'Java', 'Database Management', 'Machine Learning']",6
20CSE0040,Chad Parsons,8.82,4,"['System Design', 'Software Engineer', 'Business Management']","['System Design', 'ML Engineer', 'VLSI', 'CSC Backend']",4,8,311,Not Placed,None,69,96,10 LPA,81,Male,"['C++', 'Web Development']",3
20ECE0005,Rachel Lowe,9.39,10,['Chip Design'],"['Chip Design', 'Cloud Engineer', 'Cloud Engineer', 'ML Engineer']",4,6,260,Placed,DREAM,75,74,6 LPA,142,Male,['Python'],8
20ECE0049,Emma Newman,7.0,7,"['Cloud Engineer', 'System Design', 'Software Engineer']","['VLSI', 'VLSI', 'CSC Frontend']",3,3,354,Not Placed,None,74,93,60 LPA,115,Male,"['Java', 'Database Management', 'Machine Learning', 'Data Analysis', 'Python']",4
20EEE0308,Ronald Garcia,7.35,6,['UI Design'],"['System Design', 'VLSI', 'Chip Design']",3,4,154,Not Placed,None,79,70,10 LPA,137,Male,['Java'],8
20CSE0285,Jacqueline Gonzalez,8.19,7,['UI Design'],"['VLSI', 'Cloud Engineer', 'CSC Backend', 'System Design']",4,6,57,Not Placed,None,87,76,50 LPA,91,Female,"['Database Management', 'Java']",7
20EEE0123,Darren Reyes,8.66,9,"['Cloud Engineer', 'System Design', 'Software Engineer']",['Cloud Engineer'],1,4,252,Not Placed,None,72,99,6 LPA,139,Female,"['Web Development', 'Java', 'Database Management', 'Python']",7
20CSE0140,Matthew Morales,6.45,10,"['Software Engineer', 'Chip Design', 'Hardware Engineer']","['System Design', 'VLSI', 'Chip Design', 'CSC Backend']",4,9,387,Not Placed,None,89,86,4 LPA,146,Male,"['Data Analysis', 'Python', 'Web Development']",3
20EEE0298,Carolyn Barrett,7.86,5,['Business Management'],"['Chip Design', 'VLSI']",2,7,258,Placed,REGULAR,62,73,8 LPA,130,Male,"['C++', 'Web Development']",9
20CSE0284,Matthew Martin,8.92,7,['Robotics'],"['System Design', 'Cloud Engineer', 'CSC Backend', 'Cloud Engineer']",4,8,402,Placed,SUPER DREAM,72,69,80 LPA,89,Female,"['C++', 'Communication', 'Machine Learning']",8
20EEE0261,Joseph Mendez,7.45,4,"['System Design', 'ML Engineer', 'Cloud Engineer']",['Chip Design'],1,8,24,Placed,SUPER DREAM,99,77,25 LPA,139,Female,"['C++', 'Python']",3
20CSE0024,Brenda Ellis,9.63,8,"['System Design', 'UI Design', 'Cloud Engineer']","['VLSI', 'CSC Backend']",2,10,448,Placed,DREAM,93,92,1 CR LPA,94,Female,"['Database Management', 'Communication', 'C++', 'Machine Learning']",5
20EEE0071,Laura Arroyo,8.23,7,"['Chip Design', 'UI Design']",['CSC Frontend'],1,1,383,Not Placed,None,97,79,30 LPA,103,Male,"['Java', 'Database Management', 'Python']",9
20ECE0026,Brenda Martin,6.57,6,"['Software Engineer', 'Software Engineer', 'Hardware Engineer']","['CSC Backend', 'System Design']",2,2,345,Placed,REGULAR,71,61,1 CR LPA,91,Male,"['Machine Learning', 'Communication', 'C++']",2
20EEE0211,Crystal Brown,9.85,6,"['Software Engineer', 'Software Engineer', 'Software Engineer']","['VLSI', 'ML Engineer', 'CSC Frontend', 'VLSI']",4,5,390,Not Placed,None,86,77,30 LPA,107,Male,"['Data Analysis', 'Communication', 'Java']",9
20EEE0277,Pedro Roberson,6.42,5,['UI Design'],"['Cloud Engineer', 'ML Engineer']",2,10,309,Not Placed,None,66,86,70 LPA,126,Female,['Java'],8
20EEE0028,Edward Jacobson,9.21,3,['Cloud Engineer'],"['VLSI', 'System Design', 'CSC Frontend']",3,3,433,Placed,DREAM,66,66,80 LPA,144,Female,"['Web Development', 'Data Analysis', 'Communication']",6
20CSE0193,Lisa Bridges,8.81,8,"['Cloud Engineer', 'Software Engineer']",['Cloud Engineer'],1,3,448,Placed,REGULAR,93,77,50 LPA,122,Female,"['C++', 'Data Analysis', 'Web Development']",3
20EEE0284,Donald Tyler,7.37,9,"['System Design', 'ML Engineer']","['CSC Frontend', 'Chip Design', 'System Design', 'VLSI']",4,0,411,Placed,DREAM,84,91,60 LPA,148,Female,"['C++', 'Web Development', 'Python', 'Communication', 'Machine Learning']",1
20ECE0011,Catherine Miller,9.03,7,"['ML Engineer', 'System Design']","['VLSI', 'System Design', 'CSC Backend']",3,2,375,Placed,REGULAR,96,83,25 LPA,101,Female,"['Data Analysis', 'Communication', 'Java']",8
20ECE0240,Marie Cantu,9.12,4,['ML Engineer'],"['Cloud Engineer', 'CSC Frontend', 'CSC Backend']",3,10,324,Not Placed,None,80,69,8 LPA,121,Female,"['Python', 'C++', 'Communication', 'Java', 'Database Management']",7
20CSE0075,Brenda Hardy,9.33,10,"['ML Engineer', 'ML Engineer']","['CSC Frontend', 'ML Engineer']",2,6,373,Not Placed,None,68,94,4 LPA,94,Female,"['Java', 'Machine Learning']",10
20EEE0204,Mary Hogan,8.17,8,"['ML Engineer', 'System Design']","['ML Engineer', 'VLSI', 'ML Engineer']",3,4,130,Placed,SUPER DREAM,75,70,90 LPA,94,Male,['Java'],6
20ECE0060,Kimberly Perez,7.02,1,"['ML/AI', 'Cloud Engineer']","['Chip Design', 'VLSI', 'VLSI', 'VLSI']",4,4,94,Not Placed,None,68,63,15 LPA,138,Male,"['Communication', 'Database Management', 'Web Development', 'Java']",4
20CSE0220,Brian Perez,6.27,9,"['Hardware Engineer', 'Robotics', 'Software Engineer']","['VLSI', 'ML Engineer']",2,1,368,Not Placed,None,67,60,15 LPA,81,Female,"['Database Management', 'Machine Learning', 'Data Analysis', 'Java', 'C++']",2
20ECE0325,Amber Knapp,9.29,6,['Robotics'],"['ML Engineer', 'Chip Design', 'CSC Backend', 'VLSI']",4,10,78,Not Placed,None,86,71,8 LPA,147,Male,"['Java', 'Web Development']",1
20EEE0063,Tonya Harrington,6.04,7,['Robotics'],"['Chip Design', 'Cloud Engineer', 'CSC Frontend']",3,4,484,Not Placed,None,71,80,80 LPA,150,Male,['C++'],2
20CSE0025,Daniel Watson,8.25,7,['UI Design'],"['VLSI', 'CSC Backend', 'VLSI']",3,0,149,Placed,DREAM,60,96,1 CR LPA,95,Male,"['Machine Learning', 'Communication', 'Python']",2
20CSE0296,Daniel Watson,8.33,5,['Chip Design'],"['CSC Backend', 'CSC Backend']",2,7,32,Placed,DREAM,93,95,80 LPA,113,Female,"['Database Management', 'Machine Learning']",3
20EEE0124,Rose Tanner,7.79,6,['ML/AI'],['Chip Design'],1,5,332,Not Placed,None,81,69,70 LPA,112,Male,"['Python', 'Database Management', 'C++']",7
20CSE0207,Melissa Ross,9.18,5,['Cloud Engineer'],"['ML Engineer', 'Chip Design', 'Chip Design', 'Cloud Engineer']",4,10,487,Placed,DREAM,79,75,1 CR LPA,97,Male,"['Communication', 'Java', 'Web Development', 'Python']",5
20EEE0094,Eric Valdez,8.27,9,['ML Engineer'],"['ML Engineer', 'CSC Frontend', 'VLSI']",3,0,106,Not Placed,None,74,67,25 LPA,116,Female,"['C++', 'Python', 'Web Development', 'Machine Learning', 'Data Analysis']",8
20EEE0178,Jessica Lawson,7.64,7,"['Cloud Engineer', 'Business Management']","['VLSI', 'CSC Backend', 'VLSI']",3,1,386,Not Placed,None,76,94,40 LPA,90,Male,"['Web Development', 'C++', 'Database Management']",7
20ECE0182,Charles Jones,6.49,1,['Hardware Engineer'],"['Cloud Engineer', 'ML Engineer', 'CSC Backend', 'CSC Frontend']",4,8,237,Not Placed,None,73,71,70 LPA,139,Male,"['Communication', 'Machine Learning', 'Database Management', 'Java', 'Web Development']",9
20ECE0305,Cynthia Waters,6.36,3,"['Hardware Engineer', 'System Design', 'ML/AI']",['VLSI'],1,6,209,Placed,SUPER DREAM,74,83,4 LPA,129,Male,"['Communication', 'C++', 'Data Analysis']",4
20EEE0087,Kelly Cook,8.45,5,"['Hardware Engineer', 'UI Design', 'Chip Design']","['Cloud Engineer', 'VLSI', 'VLSI']",3,3,254,Placed,DREAM,64,72,50 LPA,111,Female,['C++'],8
20ECE0013,Curtis Pitts,6.87,3,['ML Engineer'],['Cloud Engineer'],1,6,272,Placed,SUPER DREAM,92,62,15 LPA,84,Female,"['Web Development', 'Database Management', 'Data Analysis']",6
20CSE0037,Ashley Austin,7.45,8,"['UI Design', 'System Design', 'Business Management']","['System Design', 'VLSI']",2,1,349,Placed,REGULAR,66,83,80 LPA,141,Female,"['Python', 'Machine Learning']",6
20ECE0184,Margaret Johnson,9.55,5,"['Cloud Engineer', 'ML Engineer']",['Cloud Engineer'],1,7,74,Placed,SUPER DREAM,92,100,40 LPA,113,Male,"['Data Analysis', 'Web Development', 'C++', 'Machine Learning', 'Python']",10
20ECE0216,Sandy Sanders,7.89,9,['UI Design'],"['System Design', 'ML Engineer']",2,4,444,Placed,SUPER DREAM,93,89,6 LPA,117,Female,"['Python', 'Machine Learning', 'Java', 'Data Analysis']",2
20ECE0272,Jason Santana,6.7,3,"['Hardware Engineer', 'Chip Design']","['Chip Design', 'ML Engineer']",2,3,261,Placed,REGULAR,74,89,40 LPA,117,Male,"['Python', 'C++', 'Communication']",7
20EEE0115,Joanna Weaver,9.17,3,"['Hardware Engineer', 'System Design']","['ML Engineer', 'ML Engineer']",2,4,126,Not Placed,None,99,79,70 LPA,109,Male,"['C++', 'Web Development', 'Machine Learning', 'Database Management', 'Data Analysis']",5
20EEE0317,Colton Brady,8.61,3,"['ML Engineer', 'Chip Design']","['CSC Backend', 'CSC Backend', 'Chip Design', 'System Design']",4,2,424,Not Placed,None,73,73,30 LPA,81,Female,"['C++', 'Machine Learning', 'Web Development']",6
20ECE0042,Brian Dennis DDS,6.36,10,"['Software Engineer', 'Hardware Engineer', 'Chip Design']","['CSC Backend', 'Chip Design', 'VLSI']",3,5,262,Placed,DREAM,91,94,6 LPA,140,Male,"['Machine Learning', 'Web Development']",9
20CSE0132,Larry Garcia,6.38,1,['Software Engineer'],"['CSC Frontend', 'Cloud Engineer', 'System Design', 'CSC Frontend']",4,1,311,Not Placed,None,91,61,40 LPA,94,Male,"['Data Analysis', 'Machine Learning', 'Communication', 'Python']",6
20EEE0219,Daniel Butler,7.25,5,"['ML Engineer', 'System Design', 'Chip Design']",['Cloud Engineer'],1,10,350,Not Placed,None,80,87,25 LPA,104,Female,"['Python', 'C++', 'Database Management', 'Machine Learning']",2
20ECE0266,Ashley Fischer,7.66,1,"['UI Design', 'System Design', 'UI Design']","['ML Engineer', 'CSC Frontend']",2,7,470,Not Placed,None,70,63,15 LPA,104,Female,['Web Development'],8
20CSE0324,Frank Waters,9.28,10,"['Software Engineer', 'Business Management']","['Chip Design', 'VLSI', 'CSC Frontend']",3,10,266,Not Placed,None,68,75,30 LPA,122,Female,['Data Analysis'],9
20ECE0324,Robert Briggs,7.16,2,['Software Engineer'],['System Design'],1,2,1,Placed,DREAM,79,79,80 LPA,132,Female,['Database Management'],8
20EEE0244,Chase Anderson,7.25,1,"['ML Engineer', 'Business Management', 'Hardware Engineer']","['CSC Frontend', 'Cloud Engineer', 'Chip Design']",3,10,271,Placed,SUPER DREAM,95,94,1 CR LPA,88,Female,"['Data Analysis', 'Python', 'Communication', 'C++']",1
20ECE0032,Valerie Riley,9.5,8,"['System Design', 'System Design']","['ML Engineer', 'Chip Design', 'System Design']",3,4,100,Not Placed,None,78,98,80 LPA,85,Male,"['Communication', 'Java']",6
20ECE0031,Rachel Barron,7.47,3,['Robotics'],"['Cloud Engineer', 'CSC Frontend', 'ML Engineer']",3,10,28,Not Placed,None,62,94,4 LPA,131,Male,"['C++', 'Web Development']",8
20EEE0313,Robert Knox,6.67,4,"['Business Management', 'System Design', 'Cloud Engineer']","['CSC Backend', 'System Design', 'Chip Design', 'CSC Frontend']",4,2,146,Placed,SUPER DREAM,88,87,50 LPA,105,Male,"['Database Management', 'Python', 'Java', 'Data Analysis']",3
20CSE0332,Stephanie Brown,9.82,7,"['Business Management', 'UI Design', 'Business Management']","['System Design', 'Cloud Engineer', 'System Design']",3,0,110,Not Placed,None,87,80,15 LPA,93,Female,"['Communication', 'Web Development', 'Java', 'C++', 'Data Analysis']",8
20EEE0200,Kyle Callahan,8.82,5,"['ML Engineer', 'Business Management', 'Chip Design']","['CSC Backend', 'System Design', 'Cloud Engineer', 'Cloud Engineer']",4,3,427,Not Placed,None,96,81,4 LPA,112,Male,"['Python', 'Communication', 'Web Development']",9
20ECE0250,April Martinez,7.93,6,['Hardware Engineer'],"['ML Engineer', 'Cloud Engineer']",2,4,167,Placed,REGULAR,72,82,70 LPA,142,Male,"['Data Analysis', 'Web Development', 'Machine Learning', 'Java']",1
20ECE0235,Melissa Hicks,8.37,5,"['Software Engineer', 'ML/AI', 'ML Engineer']","['CSC Frontend', 'CSC Frontend']",2,10,59,Not Placed,None,87,72,4 LPA,106,Female,"['Database Management', 'Data Analysis', 'Java', 'C++', 'Communication']",9
20EEE0151,Maureen Harris,6.27,3,"['Hardware Engineer', 'UI Design', 'UI Design']",['CSC Frontend'],1,9,16,Not Placed,None,90,68,90 LPA,147,Female,"['Web Development', 'Java', 'C++', 'Communication', 'Machine Learning']",2
20CSE0312,Debbie Barnett,9.08,1,"['Robotics', 'UI Design']","['VLSI', 'CSC Frontend']",2,3,272,Placed,DREAM,64,75,50 LPA,114,Female,"['Python', 'Web Development', 'Data Analysis']",2
20ECE0221,Eric Jones,8.93,3,"['Software Engineer', 'ML Engineer']",['CSC Backend'],1,8,455,Not Placed,None,100,83,25 LPA,114,Female,"['Web Development', 'Java', 'Database Management']",6
20CSE0022,Bridget Dixon,7.76,1,"['Hardware Engineer', 'UI Design', 'Hardware Engineer']","['Chip Design', 'CSC Backend', 'Chip Design']",3,2,430,Not Placed,None,62,86,50 LPA,111,Male,"['Database Management', 'Communication', 'C++']",2
20EEE0078,Jonathan Avery,6.62,3,['UI Design'],['Cloud Engineer'],1,5,189,Not Placed,None,69,60,60 LPA,128,Female,"['Machine Learning', 'Database Management', 'Web Development']",5
20CSE0048,Sarah Bennett,6.95,2,"['UI Design', 'Chip Design']","['ML Engineer', 'Chip Design', 'CSC Frontend']",3,10,386,Not Placed,None,79,93,25 LPA,108,Male,"['Database Management', 'Machine Learning', 'C++']",4
20CSE0108,Crystal Price,9.82,6,"['System Design', 'Software Engineer', 'Software Engineer']",['System Design'],1,3,205,Not Placed,None,82,66,10 LPA,149,Male,"['Machine Learning', 'Python', 'C++']",4
20ECE0009,Maria Hart,9.41,2,"['UI Design', 'Hardware Engineer']",['Chip Design'],1,1,19,Not Placed,None,62,83,80 LPA,116,Female,"['C++', 'Python', 'Database Management']",6
20EEE0014,Timothy Brown,7.74,4,['ML Engineer'],"['CSC Frontend', 'CSC Frontend', 'System Design']",3,8,298,Not Placed,None,69,84,80 LPA,141,Male,"['Java', 'Python']",3
20EEE0128,Amber Chen,7.85,5,"['ML Engineer', 'Robotics', 'ML/AI']","['VLSI', 'Cloud Engineer', 'Cloud Engineer', 'CSC Backend']",4,2,313,Not Placed,None,66,81,50 LPA,146,Male,"['C++', 'Communication', 'Database Management', 'Machine Learning', 'Java']",4
20CSE0099,Kevin Moore,7.71,10,"['UI Design', 'System Design', 'ML Engineer']","['VLSI', 'Chip Design', 'ML Engineer']",3,1,353,Not Placed,None,62,87,25 LPA,110,Male,['Python'],10
20ECE0019,Danielle Hawkins DDS,7.23,7,"['Robotics', 'Software Engineer', 'System Design']","['System Design', 'CSC Frontend', 'Chip Design', 'Chip Design']",4,1,274,Not Placed,None,78,67,10 LPA,123,Male,"['Machine Learning', 'Data Analysis', 'Web Development', 'Communication', 'Database Management']",9
20ECE0241,Jorge Neal,8.43,2,"['Software Engineer', 'Cloud Engineer', 'Robotics']","['Chip Design', 'CSC Frontend']",2,9,22,Not Placed,None,72,78,1 CR LPA,127,Male,"['Database Management', 'Python', 'Java', 'Communication']",3
20EEE0168,Brandon Owens,8.42,10,"['Chip Design', 'Hardware Engineer']",['System Design'],1,2,53,Placed,DREAM,87,65,6 LPA,128,Female,"['C++', 'Communication']",2
20ECE0128,Lisa Rocha,7.75,4,['ML/AI'],"['Cloud Engineer', 'System Design', 'Cloud Engineer']",3,0,313,Not Placed,None,80,64,10 LPA,80,Female,"['Machine Learning', 'Database Management', 'Web Development']",9
20ECE0038,Stephanie Mora,6.98,7,['Robotics'],['ML Engineer'],1,5,290,Placed,REGULAR,85,99,60 LPA,146,Male,"['Communication', 'Machine Learning', 'Python', 'C++', 'Java']",3
20ECE0144,Justin Rose DDS,9.24,9,['Software Engineer'],"['Chip Design', 'System Design']",2,8,453,Placed,SUPER DREAM,87,93,60 LPA,87,Male,"['Communication', 'C++']",10
20CSE0144,Stacy Jones,9.51,5,['ML/AI'],['VLSI'],1,5,157,Not Placed,None,90,60,8 LPA,142,Female,['Data Analysis'],7
20CSE0123,Dawn Noble,9.18,6,['Robotics'],"['CSC Frontend', 'VLSI', 'CSC Backend', 'CSC Frontend']",4,2,154,Not Placed,None,85,67,4 LPA,89,Female,['Python'],10
20EEE0324,David Barrett,8.12,4,"['UI Design', 'UI Design', 'Hardware Engineer']","['CSC Backend', 'ML Engineer']",2,7,359,Not Placed,None,89,76,30 LPA,144,Female,"['Java', 'Data Analysis']",1
20EEE0220,Cassandra Barnes,8.39,4,['Cloud Engineer'],['CSC Frontend'],1,7,310,Not Placed,None,69,68,30 LPA,148,Female,"['Database Management', 'Java', 'Web Development', 'C++']",4
20EEE0328,Andrea Smith,6.28,2,"['Cloud Engineer', 'ML Engineer', 'UI Design']","['ML Engineer', 'System Design', 'CSC Frontend']",3,6,402,Placed,REGULAR,94,94,70 LPA,111,Female,"['C++', 'Database Management', 'Web Development', 'Java', 'Data Analysis']",4
20CSE0087,David Walton,6.77,2,"['Business Management', 'UI Design']","['Cloud Engineer', 'Cloud Engineer']",2,7,300,Placed,REGULAR,81,97,60 LPA,109,Female,"['Data Analysis', 'Java', 'Communication', 'C++', 'Database Management']",7
20ECE0283,William Graham,7.17,3,['Business Management'],"['CSC Backend', 'CSC Backend', 'System Design', 'CSC Backend']",4,4,234,Not Placed,None,92,85,80 LPA,93,Female,"['Machine Learning', 'Python', 'Database Management', 'Communication', 'Java']",5
20EEE0066,Thomas Brooks,6.47,8,"['Cloud Engineer', 'System Design', 'Chip Design']","['ML Engineer', 'VLSI', 'Chip Design', 'CSC Frontend']",4,9,105,Placed,DREAM,76,86,10 LPA,145,Male,"['C++', 'Java']",8
20ECE0098,Mary Davis,7.66,8,"['Robotics', 'ML Engineer']","['System Design', 'VLSI', 'Chip Design', 'CSC Backend']",4,7,476,Not Placed,None,87,66,40 LPA,143,Male,"['Java', 'Communication']",2
